BARTRAC-REF;FML-REF;SHIPPING-FOLDER-LOCATION;SHIPPING-FILE-LOCATION
BA3143;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3144;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3145;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3146;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3147;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3148;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3149;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA3150;2601DSI2749;C:\Users\Jason\Obsidian\SHIPPING\2601DSI2749 - BA2132 TO BA3150 - 19 X CAT GENSETS - CE;2601DSI2749.md
BA2975;2511DSI2736;C:\Users\Jason\Obsidian\SHIPPING\2511DSI2736 - BA2974 BA2975 - 2 x CAT426-07A - CE;2511DSI2736.md
BA2974;2511DSI2736;C:\Users\Jason\Obsidian\SHIPPING\2511DSI2736 - BA2974 BA2975 - 2 x CAT426-07A - CE;2511DSI2736.md
BA2971;2511DSI2734;C:\Users\Jason\Obsidian\SHIPPING\2511DSI2734 - BA2971 BA2976 - 2 x CAT426-07A - CE;2511DSI2734.md
BA2976;2511DSI2734;C:\Users\Jason\Obsidian\SHIPPING\2511DSI2734 - BA2971 BA2976 - 2 x CAT426-07A - CE;2511DSI2734.md
BA3032;2511DSI2730;C:\Users\Jason\Obsidian\SHIPPING\2511DSI2730 - BA3032 - CAT333 - CE;2511DSI2730.md
BA2982;2510DSI2723;C:\Users\Jason\Obsidian\SHIPPING\2510DSI2723 - BA2982, BA2983, BA2984, BA2985 - 4 X CAT333;2510DSI2723.md
